new covid19 cases,new covid19,je,last 24,covid19 outbreak,casos nuevos,confinement,contagios,nous,stay home stay,vous,qu,active cases,il faut,april,pas,new covid 19,new covid,staying home,wearing masks,front lines,covid 19 cases,19 cases,est pas,il est,second,spike,ppe,ministerio salud,ce,est,increase
472,758,0,641,0,819,0,4476,0,0,0,0,1225,0,0,2758,2128,2273,0,774,0,6231,6247,0,0,3619,0,0,582,0,3840,2289
398,670,2361,552,0,815,0,7778,0,0,0,0,1214,0,0,2883,2370,2456,0,788,0,6527,6548,0,0,3047,0,0,561,0,4258,2423
362,579,1855,560,0,602,0,3248,0,0,0,0,1091,0,0,2332,1822,1907,0,705,0,4602,4615,0,0,1786,0,0,480,0,3250,0
372,660,1838,535,0,605,0,3672,0,0,0,0,1016,0,0,2495,1768,1874,0,714,0,5837,5854,355,0,1786,0,0,459,0,3879,0
386,668,0,550,0,720,0,4815,0,0,0,0,1156,0,0,2889,2269,2411,0,760,0,6425,6443,0,0,2708,0,0,497,0,4307,2772
430,771,2834,542,0,755,0,4786,0,0,0,0,1186,0,0,3643,2585,2774,0,743,0,8310,8338,0,0,2590,0,0,699,0,5505,2992
453,756,2369,636,0,714,0,4269,0,741,0,0,1183,0,0,3227,2330,2478,0,1070,0,5690,5719,408,0,2349,0,0,600,0,4742,2495
445,772,2565,634,0,681,0,4752,0,0,0,0,1205,0,0,3437,2786,2971,0,993,0,6455,6485,0,0,2525,0,0,608,0,4684,2391
384,605,2497,605,0,657,0,4740,0,0,0,0,1073,0,0,3900,2360,2482,0,638,0,5850,5873,460,0,2409,0,0,519,2130,5638,2280
305,553,1966,516,0,620,0,3164,0,0,0,0,862,0,0,3132,1964,2026,0,502,0,4097,4122,407,0,1462,0,0,558,2091,4368,1523
419,663,2119,633,0,588,0,3332,0,0,0,0,1138,0,0,3336,2019,2150,0,481,0,4905,4931,429,0,1706,0,0,626,2340,4430,0
443,733,2780,619,0,876,0,4493,0,0,0,0,1144,0,0,4222,2535,2635,0,592,0,6453,6461,533,0,2960,0,0,607,3041,5933,0
537,836,2723,651,0,725,0,4042,0,0,0,0,1290,0,0,3661,2365,2479,0,609,0,6354,6378,449,0,2415,0,0,548,2348,5307,2207
465,718,2512,693,0,712,0,4333,0,0,0,0,1261,0,0,3897,2427,2553,0,551,0,5905,5935,525,0,2184,0,0,558,2174,5197,2177
394,619,2422,656,0,711,0,3948,0,0,0,0,1240,0,0,3636,2059,2145,0,512,0,5117,5142,413,302,1886,0,0,552,2025,4890,2029
456,686,2436,682,0,688,0,4344,0,0,0,0,1279,0,0,3904,2141,2219,0,500,0,5997,6016,613,0,2050,0,0,600,2219,5348,2025
471,636,2046,767,337,537,0,3092,1658,0,1553,1590,1154,0,0,3140,1918,1985,0,486,0,4686,4701,433,344,1690,0,0,456,1892,4707,1497
416,644,1653,534,0,556,0,2992,0,0,0,0,1028,0,0,2530,1898,1965,0,525,0,4477,4500,0,0,1919,0,0,465,0,3807,0
429,718,2469,668,0,649,0,4301,0,0,0,0,1270,0,0,3527,2238,2366,0,775,0,5703,5715,413,0,2926,0,0,552,2016,5139,0
417,722,2371,498,0,666,0,4313,0,0,0,0,1262,0,0,3709,2382,2506,0,772,0,8444,8468,518,0,2517,0,0,573,2466,5326,2180
389,845,1978,635,0,613,0,4112,0,0,0,0,1318,0,0,3521,2584,2730,0,599,0,5640,5652,448,0,1871,0,0,562,2128,4780,2137
447,963,3280,686,0,648,0,4231,0,0,2269,0,1206,0,0,5266,2720,2840,0,704,0,6126,6144,769,493,2159,0,0,704,2746,7382,2278
400,752,2467,622,0,605,0,4209,0,0,1901,0,1147,0,0,4506,2553,2680,0,777,0,5772,5788,697,591,1964,0,0,559,2376,6763,1961
356,513,1679,621,0,512,0,3175,0,0,0,0,982,0,0,2567,2143,2231,0,499,0,4821,4832,358,0,1906,0,0,375,1700,3978,1521
330,514,2557,578,0,588,0,3215,0,0,1878,1693,863,0,0,3868,1579,1680,0,485,0,4992,5008,599,351,1643,0,0,415,2081,6003,1583
345,668,2184,509,0,619,0,4709,0,0,0,0,1155,0,0,3613,2210,2332,0,673,0,6316,6346,627,455,1993,0,0,504,2196,5468,2000
303,486,1673,485,0,555,0,3390,0,0,0,0,1024,0,0,2687,1702,1802,0,536,0,4555,4578,412,304,1790,0,0,438,0,3984,1658
336,590,0,584,0,720,0,3675,0,0,0,0,1131,0,0,3168,1962,2075,0,504,0,5430,5454,473,0,2205,0,0,471,0,4800,2242
333,566,2070,727,0,607,0,4036,0,0,0,0,1244,0,0,3242,1955,2050,0,580,0,5371,5378,542,0,0,0,0,495,0,5068,2235
377,622,1986,548,0,559,0,3849,0,0,0,0,1041,0,0,3233,2165,2303,0,490,0,5077,5091,372,0,2001,0,0,616,2149,4662,1996
323,543,1717,521,0,540,0,2876,0,0,0,0,907,0,0,2641,1598,1664,0,438,0,4098,4111,310,309,1521,1317,0,428,1471,3943,1427
407,593,1676,789,0,447,0,2641,0,0,0,0,980,0,0,2404,1802,1876,0,420,0,4700,4710,366,254,1779,1436,0,422,1277,3424,1641
335,517,2257,633,0,678,0,3940,0,0,0,0,990,0,0,3548,1648,1741,0,561,0,5661,5685,403,0,4376,0,0,718,2153,5410,2091
499,757,2990,577,0,650,0,3711,0,0,0,0,1249,0,0,4375,2537,2661,0,691,0,7291,7324,574,413,3473,2393,0,637,2454,6520,2643
349,663,2874,588,0,516,0,3043,0,0,0,0,1041,0,0,3976,2097,2247,0,799,0,5268,5301,481,0,2649,0,0,0,0,5691,0
